조경 현장소장 및 관리자 모집합니다,월급 | 300만원 ~ 350만원,정규 | 주6일,,"담당업무 :  조경 현장시공(인부와 같이 일하실수 있는분) 및 관리 가능하신 반장 및 소장 모집합니다. 조경현장 유경험자, 1종이상 운전면허소지 ...",경력3년 | 학력무관 | 경기도 시흥시 시흥대로
대기환경 측정기술자,"연봉 | 2,600만원 ~ 3,600만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  대기환경 측정업무 (대기 환경관련 자격증 소지자 , 관련학과 졸업자)",경력무관 | 학력무관 | 대구광역시 남구 대명남로
"전기,통신,신호,전차선,소방 감리 하실분 모십니다.",월급 | 200만원 ~ 350만원,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  전기분야(경력직) : 배전경력 5년이상, 고급감리 이상 (설계/감리) 신호분야(경력직) : 철도경력 3년이상 중급 감리 이상 (설계/감리)...",경력3년 | 학력무관 | 부산광역시 부산진구 동평로
판교 대장동 힐스테이트 엘포레아파트현장 전기안전관리자 모집,월급 | 250만원 ~ 270만원,비정규 | 주5일,09:00 ~ 18:00,담당업무 :  현대건설(주) 판교 대장동 힐스테이트 엘포레아파트 전기안전관리 기간 2020. 11월 24일경 부터 약 7개월( 변경될수 있음) 모집유형 :...,경력4년 | 학력무관 | 경기도 성남시 분당구
공무공사과장업무,월급 | 300만원 이상,정규 | 주6일,08:00 ~ 17:00,담당업무 :  현장 작업 및 공무 가능자,경력2년 | 학력무관 | 경기도 동두천시 동두천로
집합건물 전기안전관리자(전기과장) 채용,"연봉 | 2,800만원 ~ 3,000만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  - 특고압 집합건물의 수,변전설비의 안전관리자(선임) - 집합건물의 전기시설 안전관리자",경력4년 | 고졸 | ~ 대졸(4년) 부산광역시
"컴퓨터 네트워크 및 CCTV,주차,출입통제 관련 기술자를 모집 합니다.",월급 | 216만원 이상,비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  전기계측, 감시카메라, 통신장비(주차관제/출입통제/자동제어등)구축 및 솔루션 영업 서류능숙자/정보통신공사/나라장터 입찰 유경험...",경력무관 | 대졸(4년) | 경상남도 창원시 마산회원구
지적측량기술직 경력직사원 모집,"연봉 | 3,600만원 이상",정규 | 주5일,,담당업무 :  - 지적확정측량 및 지적분야,경력5년 | 고졸 | ~ 대졸(4년) 경기도
[두드림패션센터]전기안전관리자 모집,월급 | 270만원 ~ 270만원,비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  - 집합건물 전기안전관리및 기타업무 - 전기산업기사 자격증 필수 ■ 수전설비용량 1,500kw이상 선임 가능자 ■ 발전설비용량 364kw",경력5년 | 학력무관 | 경기도 동두천시 동두천로
"산업위생관리기사. 경북안동 근무(안전,보건강사1명), 건강하면 정년 없음",월급 | 230만원 이상,정규 | 주6일,,"담당업무 :  - 다음의 어느 하나에 해당하는 사람 산업보건ㆍ위생분야별 1명 • 산업보건지도사 자격을 가진 사람, 또는 산업위생관리기술사 • 산...",경력1년 | 학력무관 | 경상북도 안동시 경동로
전기안전관리자 모집공고,"연봉 | 3,300만원 ~ 3,300만원",비정규 | 주5일,08:00 ~ 17:00,담당업무 :  대상시설 건물 내 전기안전관리자 선임으로서 그 관할 업무 일체,경력2년 | 고졸 | ~ 대졸(4년) 부산광역시
배전반 / 구조 설계 및 프로그램,월급 | 250만원 이상,정규 | 주5일,08:30 ~ 17:30,담당업무 :  업무내용 배전반 / 구조 설계 및 프로그램,경력3년 | 대졸(2~3년) | ~ 대졸(4년) 경기도
유압기계 조립원,월급 | 180만원 ~ 220만원,정규 | 주5일,08:30 ~ 17:30,"담당업무 :  유압기계 설계,조립 기술자 (중장년층 우대 50대~60대)",경력3년 | 학력무관 | 경기도 김포시 하성면
수처리기계 기술자 모집합니다.,"연봉 | 3,600만원 ~ 4,000만원",정규 | 주5일,,"담당업무 :  환경 수처리 및 폐기물 관련 기계 설계 및 설비 경력있으신분 모집하고 있습니다. 기숙사 제공하며, 월급은 면접시 협의 가능한 부분...",경력5년 | 학력무관 | 전라북도 정읍시 고부면
"토목초급이상 기술자 또는 건설재료시험기사 모집,동정재하시험지반조사계측경험자우대",월급 | 300만원 이상,정규 | 주5일,08:30 ~ 18:30,"담당업무 :  말뚝동재하시험 말뚝정재하시험 평판재하시험 계측관리 지반조사 마이크로말뚝인발재하시험 토목설계, 보링그라우팅전문건설업,자분탐...",경력무관 | 고졸 | ~ 대졸(4년) 부산광역시
[퇴직기술인력 중소기업지원사업]연구개발 및 제품 개발연구원을 모집합니다,월급 | 300만원 ~ 300만원,정규 | 주5일,08:30 ~ 17:30,"담당업무 :  Melt Blown(MB) 기계 오퍼레이터 필터관련제품 개발 유경험자, 산업공학전공 등 이공계전공자, cad가능자 우대",경력3년 | 대졸(4년) | ~ 석사 경상남도
"PLM 개발/웹 개발자 정규직 채용(JAVA, PLM 솔루션)-경력 우대/생애 최고 연봉 보장, 경력 必",월급 | 600만원 이상,정규 | 주5일,08:30 ~ 17:30,"담당업무 :  JAVA 프로그래밍, 프로세스 혁신 컨설팅, 시스템 구축, Package 개발 中",경력25년 | 대졸(4년) | 서울특별시 강남구 밤고개로1길
자동차 전자파 시험원 모집,"연봉 | 2,200만원 이상",정규 | 주5일,09:00 ~ 18:00,담당업무 :  자동차 전자파(신뢰성포함) 시험원,경력무관 | 학력무관 | 경기도 용인시 처인구
종합건설현장소장구함..,"연봉 | 4,500만원 이상",비정규 | 주6일,,담당업무 :  종합건설 현장소장입니다.. 함께 성실히 일할사람을 구합니다.. 건축기사 자격증 (중급)이상은 필수입니다.,경력10년 | 고졸 | ~ 대졸(4년) 서울특별시
